# AT32F435/437 — Function to Pin Mapping (IOMUX)
# Source: AT32F435/437 Reference Manual (per-pin ground truth) + INAV timer_def_at32f43x.h
# MUX number = GPIO_MUX_n value for gpio_pin_mux_config()

Function                                 Pins
------------------------------------------------------------------------------------------
CAN1_RX                                  PA11(MUX9), PB8(MUX9), PD0(MUX9), PG0(MUX9)
CAN1_TX                                  PA12(MUX9), PB9(MUX9), PD1(MUX9), PG1(MUX9)
CAN2_RX                                  PB5(MUX9), PB12(MUX9), PG11(MUX9)
CAN2_TX                                  PB6(MUX9), PB13(MUX9), PG12(MUX9)
CKE1                                     PB5(MUX12)
CLKOUT1                                  PA8(MUX0)
CLKOUT2                                  PC9(MUX0)
CS1                                      PB6(MUX12)
C_SDDQMH                                 PE1(MUX12)
C_SDDQML                                 PE0(MUX12)
D0                                       PC4(MUX11)
D1                                       PC5(MUX11)
DVP_D0                                   PA9(MUX13), PC6(MUX13)
DVP_D1                                   PA10(MUX13), PC7(MUX13)
DVP_D10                                  PB5(MUX13), PD6(MUX13)
DVP_D11                                  PD2(MUX13), PF10(MUX13)
DVP_D12                                  PF11(MUX13), PG6(MUX13)
DVP_D13                                  PG7(MUX13), PG15(MUX13)
DVP_D2                                   PA11(MUX13), PC8(MUX13), PE0(MUX13), PG10(MUX13)
DVP_D3                                   PA12(MUX13), PC9(MUX13), PE1(MUX13), PG11(MUX13)
DVP_D4                                   PB3(MUX13), PC11(MUX13), PE4(MUX13)
DVP_D5                                   PB4(MUX13), PB6(MUX13), PD3(MUX13)
DVP_D6                                   PB8(MUX13), PE5(MUX13)
DVP_D7                                   PB9(MUX13), PE6(MUX13)
DVP_D8                                   PC10(MUX13)
DVP_D9                                   PC12(MUX13), PE3(MUX13)
DVP_HSYNC                                PA4(MUX13)
DVP_PIXCLK                               PA6(MUX13)
DVP_VSY                                  PG9(MUX13)
DVP_VSYN                                 PB7(MUX13)
EMAC_MDC                                 PC1(MUX11)
EMAC_MDIO                                PA2(MUX11)
EMAC_MII_COL                             PA3(MUX11)
EMAC_MII_CRS                             PA0(MUX11)
EMAC_MII_RXD0                            PC4(MUX11), PD9(MUX11)
EMAC_MII_RXD1                            PC5(MUX11), PD10(MUX11)
EMAC_MII_RXD2                            PB0(MUX11), PD11(MUX11)
EMAC_MII_RXD3                            PB1(MUX11), PD12(MUX11)
EMAC_MII_RX_CLK                          PA1(MUX11)
EMAC_MII_RX_DV                           PA7(MUX11), PD8(MUX11)
EMAC_MII_RX_ER                           PB10(MUX11)
EMAC_MII_TXD0                            PB12(MUX11), PG13(MUX11)
EMAC_MII_TXD1                            PB13(MUX11), PG14(MUX11)
EMAC_MII_TXD2                            PC2(MUX11)
EMAC_MII_TXD3                            PB8(MUX11), PE2(MUX11)
EMAC_MII_TX_C                            PC3(MUX11)
EMAC_MII_TX_EN                           PB11(MUX11), PG11(MUX11)
EMAC_PPS_OUT                             PB5(MUX11), PG8(MUX11)
EMAC_RMII_CRS_DV                         PA7(MUX11), PD8(MUX11)
EMAC_RMII_REF_CLK                        PA1(MUX11)
EMAC_RMII_RX                             PC4(MUX11), PC5(MUX11)
EMAC_RMII_RXD0                           PD9(MUX11)
EMAC_RMII_RXD1                           PD10(MUX11)
EMAC_RMII_TXD0                           PB12(MUX11), PG13(MUX11)
EMAC_RMII_TXD1                           PB13(MUX11), PG14(MUX11)
EMAC_RMII_TX_EN                          PB11(MUX11), PG11(MUX11)
ERTC_REFI                                PB15(MUX0)
